case_id,crime_type,transaction_type,transaction_amount,transaction_hour,transaction_day,victim_latitude,victim_longitude,previous_transaction_count,previous_transaction_amount,time_since_previous_transaction,suspicious_activity_score,victim_area_risk_score,timestamp
CASE_10035,Card Fraud,NEFT,39600.22,17,6,17.36882,78.57018,2,47131.8,29.7,0.415,0.302,2026-08-07 17:58:00
CASE_10036,Account Takeover,UPI,106238.16,17,6,17.41313,78.53546,0,0.0,137.8,0.17,0.63,2026-08-08 17:05:00
CASE_10037,Phishing,POS,49846.87,18,2,17.45469,78.36148,2,25215.38,15.4,0.382,0.351,2026-08-09 18:12:00
CASE_10038,Card Fraud,ATM,47568.73,11,4,17.47298,78.38206,0,0.0,13.0,0.442,0.1,2026-08-10 11:19:00
CASE_10039,Other Financial Fraud,POS,34634.24,17,4,17.402,78.49943,3,19937.24,80.8,0.486,0.619,2026-08-11 17:26:00
CASE_10040,Card Fraud,IMPS,6791.04,22,0,17.46888,78.43923,1,27193.79,12.5,0.173,0.776,2026-08-12 22:33:00
CASE_10041,Phishing,ATM,52893.39,17,1,17.2965,78.43793,0,0.0,87.6,0.378,0.627,2026-08-13 17:40:00
CASE_10042,Account Takeover,UPI,130859.95,20,4,17.44227,78.32675,1,21070.05,80.8,0.453,0.29,2026-08-14 20:47:00
CASE_10043,Account Takeover,UPI,118770.82,13,2,17.45739,78.47154,3,32135.37,130.8,0.439,0.726,2026-08-15 13:54:00
CASE_10044,UPI Fraud,UPI,60372.8,5,3,17.43379,78.37946,0,0.0,16.3,0.513,0.702,2026-08-16 05:01:00
CASE_10045,Card Fraud,ATM,9556.48,18,1,17.36345,78.42463,0,0.0,21.1,0.289,0.556,2026-08-17 18:08:00
CASE_10046,Card Fraud,NEFT,49611.66,14,3,17.51644,78.43658,0,0.0,54.5,0.561,0.495,2026-08-18 14:15:00
CASE_10047,Phishing,UPI,75095.76,15,2,17.43796,78.49509,2,37142.07,55.3,0.516,0.934,2026-08-19 15:22:00
CASE_10048,Account Takeover,UPI,84216.17,9,4,17.45457,78.39014,1,23305.95,15.5,0.634,0.57,2026-08-20 09:29:00
CASE_10049,Card Fraud,POS,17196.54,7,4,17.41527,78.3656,1,9205.77,81.0,0.485,0.545,2026-08-21 07:36:00
CASE_10050,UPI Fraud,UPI,49016.25,17,4,17.4398,78.3974,4,53351.24,24.8,0.581,0.136,2026-08-22 17:43:00
CASE_10051,Phishing,POS,72173.36,17,2,17.42787,78.4328,4,40165.52,14.9,0.532,0.513,2026-08-23 17:50:00
CASE_10052,UPI Fraud,UPI,85866.66,16,2,17.45487,78.50193,0,0.0,40.1,0.474,0.788,2026-08-24 16:57:00
CASE_10053,Card Fraud,POS,18459.36,22,0,17.42882,78.39265,1,11707.05,120.7,0.356,0.736,2026-08-25 22:04:00
CASE_10054,UPI Fraud,UPI,61048.68,7,2,17.39784,78.38487,1,28695.92,37.4,0.477,0.347,2026-08-26 07:11:00
CASE_10055,Phishing,UPI,102921.92,10,0,17.43901,78.57896,1,15199.86,24.2,0.657,0.1,2026-08-27 10:18:00
CASE_10056,Card Fraud,IMPS,12658.87,13,6,17.32306,78.53947,2,59571.58,84.9,0.32,0.377,2026-08-28 13:25:00
CASE_10057,UPI Fraud,ATM,53333.76,9,6,17.41665,78.44508,2,52027.67,78.9,0.436,0.777,2026-08-01 09:32:00
CASE_10058,Card Fraud,NEFT,34209.57,12,3,17.46242,78.45929,1,23265.92,117.2,0.282,0.51,2026-08-02 12:39:00
CASE_10059,UPI Fraud,UPI,46156.05,22,6,17.33394,78.34079,3,17881.92,40.8,0.644,0.298,2026-08-03 22:46:00
CASE_10060,UPI Fraud,IMPS,48576.43,6,2,17.39255,78.57901,0,0.0,116.7,0.254,0.532,2026-08-04 06:53:00
CASE_10061,UPI Fraud,UPI,31582.02,21,5,17.3945,78.47394,2,12198.58,118.7,0.338,0.769,2026-08-05 21:00:00
CASE_10062,Card Fraud,UPI,27664.1,9,6,17.40889,78.44862,2,16336.08,89.2,0.446,0.247,2026-08-06 09:07:00
CASE_10063,Card Fraud,NEFT,25146.35,17,5,17.47644,78.22703,0,0.0,90.8,0.162,0.497,2026-08-07 17:14:00
CASE_10064,Phishing,NEFT,88729.4,14,4,17.42555,78.50022,1,21554.33,83.6,0.682,0.566,2026-08-08 14:21:00
CASE_10065,UPI Fraud,UPI,53076.14,15,4,17.4312,78.40159,0,0.0,121.6,0.367,0.814,2026-08-09 15:28:00
CASE_10066,UPI Fraud,POS,79569.15,17,0,17.38414,78.43153,0,0.0,96.3,0.433,0.458,2026-08-10 17:35:00
CASE_10067,Card Fraud,UPI,31860.88,0,6,17.38354,78.4606,1,19457.69,82.4,0.361,0.428,2026-08-11 00:42:00
CASE_10068,UPI Fraud,UPI,21636.12,12,4,17.41264,78.38247,3,47448.19,47.9,0.411,0.769,2026-08-12 12:49:00
CASE_10069,UPI Fraud,IMPS,87817.79,21,2,17.38635,78.4672,3,18427.86,23.5,0.747,0.615,2026-08-13 21:56:00
CASE_10070,Card Fraud,ATM,20335.94,7,1,17.39387,78.43912,3,25562.53,16.3,0.227,0.95,2026-08-14 07:03:00
CASE_10071,UPI Fraud,UPI,33233.14,14,4,17.45667,78.43485,0,0.0,190.4,0.448,0.732,2026-08-15 14:10:00
CASE_10072,Card Fraud,ATM,20413.08,8,5,17.48924,78.44309,1,13465.99,30.8,0.276,0.377,2026-08-16 08:17:00
CASE_10073,Account Takeover,UPI,105613.16,11,5,17.41067,78.4494,1,15526.78,23.6,0.394,0.1,2026-08-17 11:24:00
CASE_10074,UPI Fraud,POS,79414.31,23,3,17.48552,78.44599,0,0.0,11.1,0.516,0.337,2026-08-18 23:31:00
CASE_10075,Phishing,POS,87987.53,21,4,17.36175,78.49577,1,20721.51,96.2,0.544,0.355,2026-08-19 21:38:00
CASE_10076,Account Takeover,UPI,104300.26,16,4,17.37048,78.39583,5,72385.84,10.6,0.518,0.397,2026-08-20 16:45:00
CASE_10077,UPI Fraud,POS,26433.52,11,0,17.42179,78.50134,3,16156.12,16.8,0.461,0.486,2026-08-21 11:52:00
CASE_10078,UPI Fraud,UPI,12872.8,12,6,17.3959,78.48833,0,0.0,106.9,0.316,0.873,2026-08-22 12:59:00
CASE_10079,Other Financial Fraud,IMPS,39559.4,12,4,17.34387,78.39434,2,45930.08,44.8,0.704,0.755,2026-08-23 12:06:00
CASE_10080,Card Fraud,NEFT,80000.0,14,1,17.42909,78.51778,1,20620.58,275.8,0.702,0.369,2026-08-24 14:13:00
CASE_10081,Other Financial Fraud,POS,20268.6,19,2,17.40682,78.4193,1,19655.52,161.0,0.23,0.391,2026-08-25 19:20:00
CASE_10082,UPI Fraud,IMPS,65418.91,14,0,17.45753,78.48051,0,0.0,54.4,0.329,0.547,2026-08-26 14:27:00
CASE_10083,UPI Fraud,ATM,46311.41,12,1,17.41645,78.48006,2,51613.14,61.2,0.587,0.858,2026-08-27 12:34:00
CASE_10084,UPI Fraud,IMPS,4815.71,15,2,17.35187,78.44583,1,19928.77,46.7,0.27,0.877,2026-08-28 15:41:00
CASE_10085,Card Fraud,POS,14905.55,20,0,17.35105,78.32742,1,15708.56,55.5,0.507,0.594,2026-08-01 20:48:00
CASE_10086,UPI Fraud,NEFT,19194.72,16,1,17.44174,78.44907,1,19218.2,46.0,0.214,0.325,2026-08-02 16:55:00
CASE_10087,UPI Fraud,POS,54686.67,12,6,17.50833,78.48971,1,18015.0,14.6,0.368,0.699,2026-08-03 12:02:00
CASE_10088,Card Fraud,IMPS,35520.54,13,4,17.40933,78.39167,0,0.0,62.3,0.287,0.552,2026-08-04 13:09:00
CASE_10089,Phishing,UPI,40687.53,19,3,17.39771,78.48539,1,5420.83,39.7,0.335,0.152,2026-08-05 19:16:00
CASE_10090,Other Financial Fraud,ATM,6035.79,13,1,17.33963,78.46551,2,35833.82,298.8,0.471,0.638,2026-08-06 13:23:00
CASE_10091,Account Takeover,IMPS,53946.9,16,3,17.37993,78.49323,0,0.0,103.5,0.345,0.681,2026-08-07 16:30:00
CASE_10092,UPI Fraud,IMPS,33475.64,20,2,17.41315,78.41478,0,0.0,97.1,0.336,0.815,2026-08-08 20:37:00
CASE_10093,UPI Fraud,UPI,54563.52,12,3,17.45535,78.40345,0,0.0,15.7,0.639,0.1,2026-08-09 12:44:00
CASE_10094,UPI Fraud,ATM,12047.7,18,5,17.43744,78.4978,0,0.0,23.4,0.1,0.122,2026-08-10 18:51:00
CASE_10095,Account Takeover,UPI,20000.0,12,3,17.3861,78.49501,2,17271.14,63.7,0.288,0.447,2026-08-11 12:58:00
CASE_10096,Phishing,UPI,33526.69,10,1,17.43029,78.42219,0,0.0,16.1,0.301,0.394,2026-08-12 10:05:00
CASE_10097,Phishing,UPI,62868.93,10,4,17.34713,78.32818,2,59841.27,127.5,0.588,0.528,2026-08-13 10:12:00
CASE_10098,UPI Fraud,POS,46853.8,20,6,17.41799,78.46536,2,41241.86,75.8,0.592,0.734,2026-08-14 20:19:00
CASE_10099,Account Takeover,UPI,132534.38,12,2,17.38828,78.52983,1,9597.8,13.3,0.48,0.655,2026-08-15 12:26:00
CASE_10100,UPI Fraud,UPI,26617.25,14,5,17.45076,78.4373,0,0.0,38.2,0.156,0.752,2026-08-16 14:33:00
