case_id,crime_type,transaction_type,transaction_amount,transaction_hour,transaction_day,is_night,victim_latitude,victim_longitude,candidate_latitude,candidate_longitude,distance_km,proximity_score,candidate_historical_risk,candidate_volume_score,candidate_night_activity,candidate_incident_count,suspicious_activity_score,victim_area_risk_score,withdrawal_occurred
CASE_10003,Account Takeover,UPI,108721.03,17,1,0,17.33276,78.49948,17.35147,78.47739,3.1345855716019018,0.5606492430228004,0.781,0.8,0.224,27,0.49,0.732,1
CASE_10003,Account Takeover,UPI,108721.03,17,1,0,17.33276,78.49948,17.44948,78.44085,14.39273907691894,0.21747712416687315,0.672,0.864,0.251,25,0.49,0.732,0
CASE_10003,Account Takeover,UPI,108721.03,17,1,0,17.33276,78.49948,17.47959,78.36207,21.888996317383306,0.15450579663121888,0.488,0.564,0.901,13,0.49,0.732,0
CASE_10003,Account Takeover,UPI,108721.03,17,1,0,17.33276,78.49948,17.43566,78.36262,18.488814547500418,0.17786620061948047,0.857,0.99,0.663,32,0.49,0.732,0
CASE_10003,Account Takeover,UPI,108721.03,17,1,0,17.33276,78.49948,17.46673,78.36389,20.70991424947802,0.1618783440369283,0.523,0.619,0.751,18,0.49,0.732,0
CASE_10004,UPI Fraud,UPI,2000.0,13,6,0,17.475,78.46981,17.47084,78.46262,0.8919270626904277,0.817673679255575,0.872,0.924,0.549,24,0.423,0.737,1
CASE_10004,UPI Fraud,UPI,2000.0,13,6,0,17.475,78.46981,17.49498,78.39794,7.939509585254631,0.3350221356612524,0.75,0.67,0.647,25,0.423,0.737,0
CASE_10004,UPI Fraud,UPI,2000.0,13,6,0,17.475,78.46981,17.41818,78.48472,6.513059233291716,0.38047916512571295,0.876,0.773,0.627,28,0.423,0.737,0
CASE_10004,UPI Fraud,UPI,2000.0,13,6,0,17.475,78.46981,17.36061,78.52412,13.963867861508145,0.2226691952333356,0.927,0.941,0.774,32,0.423,0.737,0
CASE_10004,UPI Fraud,UPI,2000.0,13,6,0,17.475,78.46981,17.35521,78.47589,13.335651261375803,0.2307383749067498,0.855,0.661,0.782,27,0.423,0.737,0
CASE_10005,UPI Fraud,ATM,50890.36,7,5,0,17.44469,78.51681,17.45022,78.50523,1.3737061675347675,0.7443652249105077,0.95,0.961,0.676,33,0.401,0.754,1
CASE_10005,UPI Fraud,ATM,50890.36,7,5,0,17.44469,78.51681,17.35729,78.54128,10.059293542438775,0.2845093167679993,0.891,0.785,0.746,32,0.401,0.754,0
CASE_10005,UPI Fraud,ATM,50890.36,7,5,0,17.44469,78.51681,17.43423,78.42973,9.310706651092211,0.3005099657629206,0.609,0.731,0.342,25,0.401,0.754,0
CASE_10005,UPI Fraud,ATM,50890.36,7,5,0,17.44469,78.51681,17.42178,78.44946,7.585541521417425,0.3452579227829329,0.735,0.705,0.59,28,0.401,0.754,0
CASE_10005,UPI Fraud,ATM,50890.36,7,5,0,17.44469,78.51681,17.43233,78.46595,5.567741893920808,0.4180714785524824,0.752,0.53,0.578,22,0.401,0.754,0
CASE_10006,Phishing,POS,83505.35,15,1,0,17.43428,78.36037,17.43566,78.36262,0.28376324300716393,0.9337584205965676,0.857,0.99,0.663,32,0.619,0.381,1
CASE_10006,Phishing,POS,83505.35,15,1,0,17.43428,78.36037,17.39856,78.45265,10.565631817750063,0.274619051892105,0.834,0.965,0.805,28,0.619,0.381,0
CASE_10006,Phishing,POS,83505.35,15,1,0,17.43428,78.36037,17.37166,78.46218,12.852187212282852,0.23735791381931529,0.636,0.636,0.897,15,0.619,0.381,0
CASE_10006,Phishing,POS,83505.35,15,1,0,17.43428,78.36037,17.4177,78.4204,6.630155705510552,0.37628799716700717,0.755,0.91,0.81,22,0.619,0.381,0
CASE_10006,Phishing,POS,83505.35,15,1,0,17.43428,78.36037,17.46135,78.34829,3.2714601635240967,0.5500958418317744,0.718,0.8,0.255,21,0.619,0.381,0
CASE_10007,UPI Fraud,UPI,46139.8,22,4,1,17.38161,78.49991,17.38417,78.49851,0.3210946792190629,0.9256913576174884,0.916,0.826,0.633,30,0.474,0.461,1
CASE_10007,UPI Fraud,UPI,46139.8,22,4,1,17.38161,78.49991,17.40226,78.43883,6.8760044118714925,0.36778212370288094,0.678,0.84,0.613,21,0.474,0.461,0
CASE_10007,UPI Fraud,UPI,46139.8,22,4,1,17.38161,78.49991,17.47084,78.46262,10.681558070053434,0.27245064733006513,0.872,0.924,0.549,24,0.474,0.461,0
CASE_10007,UPI Fraud,UPI,46139.8,22,4,1,17.38161,78.49991,17.38662,78.51943,2.1449872306709588,0.6509370727468946,0.746,0.831,0.606,29,0.474,0.461,0
CASE_10007,UPI Fraud,UPI,46139.8,22,4,1,17.38161,78.49991,17.48972,78.44241,13.480376365007142,0.2288280250079367,0.733,0.815,0.734,22,0.474,0.461,0
CASE_10008,UPI Fraud,UPI,36991.32,22,3,1,17.42909,78.48142,17.43645,78.47217,1.2777873806605244,0.7578933578600116,0.856,0.867,0.718,27,0.428,0.927,1
CASE_10008,UPI Fraud,UPI,36991.32,22,3,1,17.42909,78.48142,17.43423,78.42973,5.513408031080195,0.4204592073557704,0.609,0.731,0.342,25,0.428,0.927,0
CASE_10008,UPI Fraud,UPI,36991.32,22,3,1,17.42909,78.48142,17.37206,78.48155,6.341461668586952,0.38679251813603216,0.894,0.942,0.798,30,0.428,0.927,0
CASE_10008,UPI Fraud,UPI,36991.32,22,3,1,17.42909,78.48142,17.43566,78.36262,12.624395170054344,0.24061025734068403,0.857,0.99,0.663,32,0.428,0.927,0
CASE_10008,UPI Fraud,UPI,36991.32,22,3,1,17.42909,78.48142,17.44948,78.44085,4.86450136047505,0.45123801524078505,0.672,0.864,0.251,25,0.428,0.927,0
CASE_10009,UPI Fraud,UPI,4233.17,14,2,0,17.41769,78.4874,17.41818,78.48472,0.2895112618730895,0.93250716825332,0.876,0.773,0.627,28,0.36,0.581,1
CASE_10009,UPI Fraud,UPI,4233.17,14,2,0,17.41769,78.4874,17.48972,78.44241,9.32336835557588,0.3002243796949429,0.733,0.815,0.734,22,0.36,0.581,0
CASE_10009,UPI Fraud,UPI,4233.17,14,2,0,17.41769,78.4874,17.39933,78.4862,2.0455052686410444,0.6616485839072226,0.554,0.559,0.394,18,0.36,0.581,0
CASE_10009,UPI Fraud,UPI,4233.17,14,2,0,17.41769,78.4874,17.45129,78.43982,6.279896915414939,0.389108960227209,0.556,0.623,0.52,27,0.36,0.581,0
CASE_10009,UPI Fraud,UPI,4233.17,14,2,0,17.41769,78.4874,17.45924,78.45518,5.747065077788897,0.4103799418673208,0.45,0.599,0.531,15,0.36,0.581,0
CASE_10010,Card Fraud,POS,30186.35,13,0,0,17.35097,78.40603,17.36924,78.41655,2.3181155203370536,0.6331001684164539,0.7,0.721,0.408,23,0.429,0.74,1
CASE_10010,Card Fraud,POS,30186.35,13,0,0,17.35097,78.40603,17.45147,78.35098,12.60957864069071,0.2408248930650573,0.935,0.866,0.541,36,0.429,0.74,0
CASE_10010,Card Fraud,POS,30186.35,13,0,0,17.35097,78.40603,17.44759,78.44411,11.478336310876934,0.25842570672076176,0.695,0.679,0.375,25,0.429,0.74,0
CASE_10010,Card Fraud,POS,30186.35,13,0,0,17.35097,78.40603,17.46304,78.38084,12.745011364204766,0.2388771146820875,0.683,0.758,0.547,22,0.429,0.74,0
CASE_10010,Card Fraud,POS,30186.35,13,0,0,17.35097,78.40603,17.45129,78.43982,11.717091513250168,0.25450001335347777,0.556,0.623,0.52,27,0.429,0.74,0
CASE_10011,Phishing,ATM,36328.65,14,0,0,17.43151,78.47965,17.43207,78.45762,2.3379528185662712,0.6311186142444104,0.95,0.841,0.201,31,0.398,0.124,1
CASE_10011,Phishing,ATM,36328.65,14,0,0,17.43151,78.47965,17.50548,78.40905,11.123264399557652,0.2644931606245671,0.85,0.859,0.95,26,0.398,0.124,0
CASE_10011,Phishing,ATM,36328.65,14,0,0,17.43151,78.47965,17.37206,78.48155,6.613611769849411,0.3768745349592482,0.894,0.942,0.798,30,0.398,0.124,0
CASE_10011,Phishing,ATM,36328.65,14,0,0,17.43151,78.47965,17.40421,78.41603,7.4010429507741025,0.35084509524880003,0.892,0.877,0.653,24,0.398,0.124,0
CASE_10011,Phishing,ATM,36328.65,14,0,0,17.43151,78.47965,17.4837,78.3453,15.387233775974247,0.20632133734091687,0.791,0.836,0.648,31,0.398,0.124,0
CASE_10012,Card Fraud,UPI,32312.13,18,3,0,17.45796,78.37046,17.45669,78.3789,0.9063285170526577,0.8152735769929426,0.677,0.637,0.452,26,0.542,0.788,1
CASE_10012,Card Fraud,UPI,32312.13,18,3,0,17.45796,78.37046,17.43751,78.4502,8.759051366550647,0.3135029309848591,0.782,0.806,0.583,30,0.542,0.788,0
CASE_10012,Card Fraud,UPI,32312.13,18,3,0,17.45796,78.37046,17.43576,78.50111,14.077402878512483,0.2212707227294557,0.766,0.712,0.716,25,0.542,0.788,0
CASE_10012,Card Fraud,UPI,32312.13,18,3,0,17.45796,78.37046,17.44757,78.39254,2.611600948239621,0.6049971907431927,0.65,0.734,0.402,21,0.542,0.788,0
CASE_10012,Card Fraud,UPI,32312.13,18,3,0,17.45796,78.37046,17.42037,78.46312,10.681507054546104,0.27245159404540875,0.896,0.931,0.702,33,0.542,0.788,0
CASE_10013,UPI Fraud,UPI,57780.06,20,4,1,17.47181,78.52877,17.45022,78.50523,3.4638048860182,0.5359196899014766,0.95,0.961,0.676,33,0.49,0.748,1
CASE_10013,UPI Fraud,UPI,57780.06,20,4,1,17.47181,78.52877,17.43683,78.39236,14.983369025822068,0.21071075395305294,0.761,0.863,0.625,25,0.49,0.748,0
CASE_10013,UPI Fraud,UPI,57780.06,20,4,1,17.47181,78.52877,17.44948,78.44085,9.650686268786872,0.29302556085742326,0.672,0.864,0.251,25,0.49,0.748,0
CASE_10013,UPI Fraud,UPI,57780.06,20,4,1,17.47181,78.52877,17.37753,78.56329,11.10474591926892,0.26481743032150273,0.613,0.515,0.336,21,0.49,0.748,0
CASE_10013,UPI Fraud,UPI,57780.06,20,4,1,17.47181,78.52877,17.43931,78.3601,18.25288878219541,0.17975194318143584,0.664,0.631,0.747,19,0.49,0.748,0
CASE_10014,UPI Fraud,IMPS,71555.86,18,1,0,17.38897,78.44075,17.39492,78.45141,1.3104278798787778,0.7532349728646176,0.602,0.639,0.344,23,0.482,0.929,1
CASE_10014,UPI Fraud,IMPS,71555.86,18,1,0,17.38897,78.44075,17.37579,78.53535,10.145073130127475,0.2827839745473237,0.889,0.92,0.669,28,0.482,0.929,0
CASE_10014,UPI Fraud,IMPS,71555.86,18,1,0,17.38897,78.44075,17.4837,78.3453,14.61121822863761,0.21492413612372166,0.791,0.836,0.648,31,0.482,0.929,0
CASE_10014,UPI Fraud,IMPS,71555.86,18,1,0,17.38897,78.44075,17.43047,78.41054,5.618581946537857,0.415861716647304,0.534,0.784,0.738,20,0.482,0.929,0
CASE_10014,UPI Fraud,IMPS,71555.86,18,1,0,17.38897,78.44075,17.35147,78.47739,5.70147560354582,0.41230841198405205,0.781,0.8,0.224,27,0.482,0.929,0
CASE_10015,Other Financial Fraud,UPI,53272.29,17,0,0,17.40237,78.44639,17.40498,78.45026,0.5028314805832367,0.8883299357856256,0.688,0.987,0.434,19,0.678,0.459,1
CASE_10015,Other Financial Fraud,UPI,53272.29,17,0,0,17.40237,78.44639,17.43751,78.4502,3.9282426277437117,0.5045254273630062,0.782,0.806,0.583,30,0.678,0.459,0
CASE_10015,Other Financial Fraud,UPI,53272.29,17,0,0,17.40237,78.44639,17.43233,78.46595,3.92490599534427,0.5047378482911877,0.752,0.53,0.578,22,0.678,0.459,0
CASE_10015,Other Financial Fraud,UPI,53272.29,17,0,0,17.40237,78.44639,17.45669,78.3789,9.367403759099352,0.2992353692673607,0.677,0.637,0.452,26,0.678,0.459,0
CASE_10015,Other Financial Fraud,UPI,53272.29,17,0,0,17.40237,78.44639,17.34386,78.50981,9.360813241594672,0.2993829737509737,0.682,0.761,0.743,22,0.678,0.459,0
CASE_10016,UPI Fraud,UPI,82146.71,22,1,1,17.40007,78.44965,17.39856,78.45265,0.3598892615953122,0.9174544948273236,0.834,0.965,0.805,28,0.685,0.167,1
CASE_10016,UPI Fraud,UPI,82146.71,22,1,1,17.40007,78.44965,17.41896,78.46688,2.7846035470047856,0.5895701896636082,0.498,0.736,0.903,19,0.685,0.167,0
CASE_10016,UPI Fraud,UPI,82146.71,22,1,1,17.40007,78.44965,17.39563,78.47756,3.002343015318658,0.5712373688705923,0.688,0.807,0.95,24,0.685,0.167,0
CASE_10016,UPI Fraud,UPI,82146.71,22,1,1,17.40007,78.44965,17.37166,78.46218,3.4274584399495907,0.5385422257612992,0.636,0.636,0.897,15,0.685,0.167,0
CASE_10016,UPI Fraud,UPI,82146.71,22,1,1,17.40007,78.44965,17.3625,78.49585,6.441123287664082,0.38310054290096324,0.727,0.847,0.566,16,0.685,0.167,0
CASE_10017,Phishing,ATM,48845.55,21,1,1,17.38883,78.45384,17.39856,78.45265,1.0892702553053284,0.7859672996988489,0.834,0.965,0.805,28,0.342,0.1,1
CASE_10017,Phishing,ATM,48845.55,21,1,1,17.38883,78.45384,17.42037,78.46312,3.642690265280614,0.5233759136061409,0.896,0.931,0.702,33,0.342,0.1,0
CASE_10017,Phishing,ATM,48845.55,21,1,1,17.38883,78.45384,17.39933,78.4862,3.6267922344592676,0.5244668894908734,0.554,0.559,0.394,18,0.342,0.1,0
CASE_10017,Phishing,ATM,48845.55,21,1,1,17.38883,78.45384,17.43501,78.49089,6.466897818433308,0.3821571653212836,0.835,0.823,0.529,30,0.342,0.1,0
CASE_10017,Phishing,ATM,48845.55,21,1,1,17.38883,78.45384,17.36061,78.52412,8.091440714126383,0.3308125222271334,0.927,0.941,0.774,32,0.342,0.1,0
CASE_10018,UPI Fraud,NEFT,41863.64,12,1,0,17.42475,78.40046,17.42601,78.38894,1.2301835441462445,0.7647915156776672,0.685,0.731,0.526,17,0.334,0.249,1
CASE_10018,UPI Fraud,NEFT,41863.64,12,1,0,17.42475,78.40046,17.44759,78.44411,5.281368959381569,0.43097090714800385,0.695,0.679,0.375,25,0.334,0.249,0
CASE_10018,UPI Fraud,NEFT,41863.64,12,1,0,17.42475,78.40046,17.33877,78.53292,16.999506781527145,0.19048066421820542,0.839,0.811,0.736,30,0.334,0.249,0
CASE_10018,UPI Fraud,NEFT,41863.64,12,1,0,17.42475,78.40046,17.40498,78.45026,5.722755711123905,0.41140599628802343,0.688,0.987,0.434,19,0.334,0.249,0
CASE_10018,UPI Fraud,NEFT,41863.64,12,1,0,17.42475,78.40046,17.42186,78.39999,0.32519896128819437,0.924812947520144,0.539,0.72,0.83,14,0.334,0.249,0
CASE_10019,UPI Fraud,UPI,53741.25,3,1,1,17.33958,78.43045,17.36793,78.46137,4.550459870601336,0.4678110956058657,0.95,0.969,0.891,36,0.557,0.86,1
CASE_10019,UPI Fraud,UPI,53741.25,3,1,1,17.33958,78.43045,17.40491,78.39305,8.277915620910738,0.32578819756567867,0.835,0.944,0.757,35,0.557,0.86,0
CASE_10019,UPI Fraud,UPI,53741.25,3,1,1,17.33958,78.43045,17.48507,78.37561,17.192279884872683,0.18874797906266094,0.533,0.719,0.943,24,0.557,0.86,0
CASE_10019,UPI Fraud,UPI,53741.25,3,1,1,17.33958,78.43045,17.33877,78.53292,10.87673569991513,0.26887618901657434,0.839,0.811,0.736,30,0.557,0.86,0
CASE_10019,UPI Fraud,UPI,53741.25,3,1,1,17.33958,78.43045,17.37579,78.53535,11.838875668766132,0.25254317816812594,0.889,0.92,0.669,28,0.557,0.86,0
CASE_10020,UPI Fraud,UPI,87567.41,14,3,0,17.40664,78.50999,17.39157,78.53247,2.9150649591707456,0.5784472052854989,0.678,0.718,0.124,28,0.679,0.155,1
CASE_10020,UPI Fraud,UPI,87567.41,14,3,0,17.40664,78.50999,17.3995,78.45764,5.611044037259703,0.4161878755828153,0.668,0.744,0.686,26,0.679,0.155,0
CASE_10020,UPI Fraud,UPI,87567.41,14,3,0,17.40664,78.50999,17.4837,78.3453,19.458587749586847,0.17051324839750628,0.791,0.836,0.648,31,0.679,0.155,0
CASE_10020,UPI Fraud,UPI,87567.41,14,3,0,17.40664,78.50999,17.45813,78.37688,15.237886936773693,0.20792304337509657,0.669,0.744,0.567,24,0.679,0.155,0
CASE_10020,UPI Fraud,UPI,87567.41,14,3,0,17.40664,78.50999,17.39492,78.45141,6.3508507519035575,0.3864416651224911,0.602,0.639,0.344,23,0.679,0.155,0
CASE_10021,Card Fraud,UPI,35749.22,8,6,0,17.41582,78.3835,17.41244,78.38452,0.39110933044219726,0.9109315434870278,0.72,0.781,0.685,23,0.355,0.83,1
CASE_10021,Card Fraud,UPI,35749.22,8,6,0,17.41582,78.3835,17.45022,78.50523,13.468616624686886,0.22898207030012585,0.95,0.961,0.676,33,0.355,0.83,0
CASE_10021,Card Fraud,UPI,35749.22,8,6,0,17.41582,78.3835,17.4177,78.4204,3.9205547366701903,0.5050151325236096,0.755,0.91,0.81,22,0.355,0.83,0
CASE_10021,Card Fraud,UPI,35749.22,8,6,0,17.41582,78.3835,17.43207,78.45762,8.068525410944272,0.33144065772713405,0.95,0.841,0.201,31,0.355,0.83,0
CASE_10021,Card Fraud,UPI,35749.22,8,6,0,17.41582,78.3835,17.43751,78.4502,7.476004490365659,0.3485533665796386,0.782,0.806,0.583,30,0.355,0.83,0
CASE_10022,UPI Fraud,UPI,35658.45,20,3,1,17.38717,78.42865,17.40421,78.41603,2.3201949308282726,0.6328918718138007,0.892,0.877,0.653,24,0.204,0.427,1
CASE_10022,UPI Fraud,UPI,35658.45,20,3,1,17.38717,78.42865,17.45129,78.43982,7.227637613878809,0.35626372506496684,0.556,0.623,0.52,27,0.204,0.427,0
CASE_10022,UPI Fraud,UPI,35658.45,20,3,1,17.38717,78.42865,17.50548,78.40905,13.318759546195928,0.23096342375621248,0.85,0.859,0.95,26,0.204,0.427,0
CASE_10022,UPI Fraud,UPI,35658.45,20,3,1,17.38717,78.42865,17.45454,78.46212,8.290211434495752,0.3254622608666385,0.721,0.814,0.95,25,0.204,0.427,0
CASE_10022,UPI Fraud,UPI,35658.45,20,3,1,17.38717,78.42865,17.39728,78.40857,2.4090909549306416,0.6241134707134589,0.794,0.9,0.369,29,0.204,0.427,0
CASE_10023,Phishing,UPI,61068.67,21,5,1,17.39915,78.46273,17.39856,78.45265,1.0715722232256946,0.7887100535967251,0.834,0.965,0.805,28,0.468,0.374,1
CASE_10023,Phishing,UPI,61068.67,21,5,1,17.39915,78.46273,17.36793,78.46137,3.4745041236495737,0.5351525577922782,0.95,0.969,0.891,36,0.468,0.374,0
CASE_10023,Phishing,UPI,61068.67,21,5,1,17.39915,78.46273,17.46179,78.38469,10.819408242111654,0.2699163107359022,0.707,0.763,0.429,21,0.468,0.374,0
CASE_10023,Phishing,UPI,61068.67,21,5,1,17.39915,78.46273,17.44948,78.44085,6.0587627224081855,0.397663222643585,0.672,0.864,0.251,25,0.468,0.374,0
CASE_10023,Phishing,UPI,61068.67,21,5,1,17.39915,78.46273,17.41317,78.53574,7.901895783395895,0.33608091288955183,0.519,0.472,0.287,18,0.468,0.374,0
CASE_10024,UPI Fraud,IMPS,28126.65,13,3,0,17.39186,78.43787,17.39492,78.45141,1.4764775717316205,0.7303964907383398,0.602,0.639,0.344,23,0.329,0.333,1
CASE_10024,UPI Fraud,IMPS,28126.65,13,3,0,17.39186,78.43787,17.45147,78.35098,11.354108907708056,0.26051658380460774,0.935,0.866,0.541,36,0.329,0.333,0
CASE_10024,UPI Fraud,IMPS,28126.65,13,3,0,17.39186,78.43787,17.44757,78.39254,7.842401665020028,0.3377693235836749,0.65,0.734,0.402,21,0.329,0.333,0
CASE_10024,UPI Fraud,IMPS,28126.65,13,3,0,17.39186,78.43787,17.43317,78.41066,5.42535384329127,0.42438725023009083,0.647,0.653,0.651,21,0.329,0.333,0
CASE_10024,UPI Fraud,IMPS,28126.65,13,3,0,17.39186,78.43787,17.40226,78.43883,1.1609049229563577,0.7750578744838902,0.678,0.84,0.613,21,0.329,0.333,0
CASE_10025,Account Takeover,UPI,93675.96,17,0,0,17.38518,78.50149,17.38417,78.49851,0.3355751944872593,0.9225996137919721,0.916,0.826,0.633,30,0.454,0.523,1
CASE_10025,Account Takeover,UPI,93675.96,17,0,0,17.38518,78.50149,17.38223,78.44992,5.482231471186852,0.4218416321257908,0.739,0.727,0.775,30,0.454,0.523,0
CASE_10025,Account Takeover,UPI,93675.96,17,0,0,17.38518,78.50149,17.45147,78.35098,17.58768666559918,0.18529081239511208,0.935,0.866,0.541,36,0.454,0.523,0
CASE_10025,Account Takeover,UPI,93675.96,17,0,0,17.38518,78.50149,17.39157,78.53247,3.363304927093727,0.5432343274664284,0.678,0.718,0.124,28,0.454,0.523,0
CASE_10025,Account Takeover,UPI,93675.96,17,0,0,17.38518,78.50149,17.46304,78.38084,15.453049545755606,0.20562328752577236,0.683,0.758,0.547,22,0.454,0.523,0
CASE_10026,Card Fraud,UPI,55187.1,9,1,0,17.39281,78.39525,17.39728,78.40857,1.4982293472682866,0.7275069385723861,0.794,0.9,0.369,29,0.702,0.1,1
CASE_10026,Card Fraud,UPI,55187.1,9,1,0,17.39281,78.39525,17.39933,78.4862,9.677803905205973,0.29244460790065435,0.554,0.559,0.394,18,0.702,0.1,0
CASE_10026,Card Fraud,UPI,55187.1,9,1,0,17.39281,78.39525,17.39563,78.47756,8.739544255982226,0.3139829745574833,0.688,0.807,0.95,24,0.702,0.1,0
CASE_10026,Card Fraud,UPI,55187.1,9,1,0,17.39281,78.39525,17.42427,78.35543,5.485228072608069,0.4217083626646159,0.82,0.99,0.869,27,0.702,0.1,0
CASE_10026,Card Fraud,UPI,55187.1,9,1,0,17.39281,78.39525,17.37206,78.48155,9.444071353910399,0.29752891774384577,0.894,0.942,0.798,30,0.702,0.1,0
CASE_10027,UPI Fraud,UPI,48271.85,20,0,1,17.37676,78.37323,17.40491,78.39305,3.771068275830438,0.5147297460300011,0.835,0.944,0.757,35,0.495,0.441,1
CASE_10027,UPI Fraud,UPI,48271.85,20,0,1,17.37676,78.37323,17.45813,78.37688,9.05621461006245,0.3063675130552153,0.669,0.744,0.567,24,0.495,0.441,0
CASE_10027,UPI Fraud,UPI,48271.85,20,0,1,17.37676,78.37323,17.40421,78.41603,5.47199149285275,0.4222976765781797,0.892,0.877,0.653,24,0.495,0.441,0
CASE_10027,UPI Fraud,UPI,48271.85,20,0,1,17.37676,78.37323,17.46304,78.38084,9.627811416522178,0.29351741653472346,0.683,0.758,0.547,22,0.495,0.441,0
CASE_10027,UPI Fraud,UPI,48271.85,20,0,1,17.37676,78.37323,17.43423,78.42973,8.76213735521021,0.3134271234251353,0.609,0.731,0.342,25,0.495,0.441,0
CASE_10028,UPI Fraud,POS,48838.72,11,1,0,17.41641,78.54039,17.41317,78.53574,0.610897607940351,0.8675100468749655,0.519,0.472,0.287,18,0.474,0.762,1
CASE_10028,UPI Fraud,POS,48838.72,11,1,0,17.41641,78.54039,17.42601,78.38894,16.103410901365496,0.19897121038939244,0.685,0.731,0.526,17,0.474,0.762,0
CASE_10028,UPI Fraud,POS,48838.72,11,1,0,17.41641,78.54039,17.36924,78.41655,14.148867392703368,0.2203994284297969,0.7,0.721,0.408,23,0.474,0.762,0
CASE_10028,UPI Fraud,POS,48838.72,11,1,0,17.41641,78.54039,17.43233,78.46595,8.093493500579392,0.33075636910115036,0.752,0.53,0.578,22,0.474,0.762,0
CASE_10028,UPI Fraud,POS,48838.72,11,1,0,17.41641,78.54039,17.43645,78.47217,7.5728242474793666,0.34563732365254096,0.856,0.867,0.718,27,0.474,0.762,0
CASE_10029,UPI Fraud,IMPS,25854.75,15,3,0,17.40845,78.43626,17.40432,78.43299,0.5755656386846717,0.8742088554432522,0.581,0.56,0.44,21,0.464,0.416,1
CASE_10029,UPI Fraud,IMPS,25854.75,15,3,0,17.40845,78.43626,17.39157,78.53247,10.3796418771558,0.27817104446492474,0.678,0.718,0.124,28,0.464,0.416,0
CASE_10029,UPI Fraud,IMPS,25854.75,15,3,0,17.40845,78.43626,17.375,78.48299,6.198553851609779,0.3922124703365296,0.639,0.86,0.13,24,0.464,0.416,0
CASE_10029,UPI Fraud,IMPS,25854.75,15,3,0,17.40845,78.43626,17.39933,78.4862,5.395021630073238,0.42575740189847955,0.554,0.559,0.394,18,0.464,0.416,0
CASE_10029,UPI Fraud,IMPS,25854.75,15,3,0,17.40845,78.43626,17.43501,78.49089,6.5049883988686545,0.380771481901949,0.835,0.823,0.529,30,0.464,0.416,0
CASE_10030,UPI Fraud,ATM,85163.68,19,4,0,17.36961,78.36838,17.39728,78.40857,5.258812466601934,0.432020846564142,0.794,0.9,0.369,29,0.52,0.634,1
CASE_10030,UPI Fraud,ATM,85163.68,19,4,0,17.36961,78.36838,17.45129,78.43982,11.829784413327337,0.2526882170696108,0.556,0.623,0.52,27,0.52,0.634,0
CASE_10030,UPI Fraud,ATM,85163.68,19,4,0,17.36961,78.36838,17.43751,78.4502,11.505330276020242,0.2579758011466674,0.782,0.806,0.583,30,0.52,0.634,0
CASE_10030,UPI Fraud,ATM,85163.68,19,4,0,17.36961,78.36838,17.43969,78.34535,8.166684972627218,0.32876662862556705,0.798,0.777,0.447,29,0.52,0.634,0
CASE_10030,UPI Fraud,ATM,85163.68,19,4,0,17.36961,78.36838,17.45669,78.3789,9.746973016348552,0.2909731469788302,0.677,0.637,0.452,26,0.52,0.634,0
CASE_10031,Phishing,POS,3000.0,15,6,0,17.37574,78.51096,17.38417,78.49851,1.61992794916025,0.711752897223121,0.916,0.826,0.633,30,0.376,0.626,1
