location_id,location_name,location_type,latitude,longitude,historical_risk_score,transaction_volume_score,night_activity_score,previous_incident_count,area_risk_score
LOC_062,Synthetic HDFC Bank - Hitec City Cyber Towers #62,ATM Kiosk,17.43566,78.36262,0.857,0.99,0.663,32,0.745
LOC_063,Synthetic ICICI Bank - Begumpet Main Road #63,ATM Kiosk,17.43233,78.46595,0.752,0.53,0.578,22,0.585
LOC_064,Synthetic Axis Bank - Gachibowli DLF Kiosk #64,ATM Kiosk,17.43953,78.35044,0.642,0.89,0.832,22,0.868
LOC_065,Synthetic Kotak Mahindra Bank - Ameerpet Metro Hub #65,ATM Kiosk,17.46599,78.46047,0.806,0.961,0.642,25,0.95
LOC_066,Synthetic Punjab National Bank - Secunderabad Railway Stn #66,ATM Kiosk,17.41818,78.48472,0.876,0.773,0.627,28,0.751
LOC_067,Synthetic Bank of Baroda - Dilsukhnagar Cross Roads #67,ATM Kiosk,17.33877,78.53292,0.839,0.811,0.736,30,0.742
LOC_068,Synthetic Union Bank of India - Charminar Old City Center #68,ATM Kiosk,17.35521,78.47589,0.855,0.661,0.782,27,0.826
LOC_069,Synthetic Canara Bank - Kukatpally KPHB Colony #69,ATM Kiosk,17.49716,78.36661,0.654,0.696,0.471,26,0.609
LOC_070,Synthetic IndusInd Bank - Madhapur 100ft Road #70,ATM Kiosk,17.45151,78.38368,0.685,0.656,0.642,28,0.634
LOC_071,Synthetic Tata Indicash - Mehdipatnam Rythu Bazar #71,ATM Kiosk,17.40498,78.45026,0.688,0.987,0.434,19,0.774
LOC_072,Synthetic Hitachi Money Spot - Jubilee Hills Checkpost #72,ATM Kiosk,17.43047,78.41054,0.534,0.784,0.738,20,0.517
LOC_073,Synthetic State Bank of India - Tolichowki X Roads #73,ATM Kiosk,17.39728,78.40857,0.794,0.9,0.369,29,0.718
LOC_074,Synthetic HDFC Bank - Uppal Ring Road #74,Bank Branch Counter,17.41317,78.53574,0.519,0.472,0.287,18,0.754
LOC_075,Synthetic ICICI Bank - Kondapur Botanical Garden #75,ATM Kiosk,17.45813,78.37688,0.669,0.744,0.567,24,0.593
LOC_076,Synthetic Axis Bank - Abids Commercial Center #76,ATM Kiosk,17.39563,78.47756,0.688,0.807,0.95,24,0.75
LOC_077,Synthetic Kotak Mahindra Bank - Miyapur Metro Terminal #77,ATM Kiosk,17.4837,78.3453,0.791,0.836,0.648,31,0.743
LOC_078,Synthetic Punjab National Bank - Somajiguda Circle #78,ATM Kiosk,17.41896,78.46688,0.498,0.736,0.903,19,0.74
LOC_079,Synthetic Bank of Baroda - Malakpet Super Bazar #79,ATM Kiosk,17.3625,78.49585,0.727,0.847,0.566,16,0.724
LOC_080,Synthetic Union Bank of India - Sanath Nagar Industrial #80,ATM Kiosk,17.48972,78.44241,0.733,0.815,0.734,22,0.698
LOC_081,Synthetic Canara Bank - Banjara Hills Rd 12 #81,ATM Kiosk,17.3995,78.45764,0.668,0.744,0.686,26,0.853
LOC_082,Synthetic IndusInd Bank - Hitec City Cyber Towers #82,ATM Kiosk,17.45669,78.3789,0.677,0.637,0.452,26,0.726
LOC_083,Synthetic Tata Indicash - Begumpet Main Road #83,ATM Kiosk,17.45924,78.45518,0.45,0.599,0.531,15,0.599
LOC_084,Synthetic Hitachi Money Spot - Gachibowli DLF Kiosk #84,ATM Kiosk,17.42427,78.35543,0.82,0.99,0.869,27,0.661
LOC_085,Synthetic State Bank of India - Ameerpet Metro Hub #85,ATM Kiosk,17.43751,78.4502,0.782,0.806,0.583,30,0.841
LOC_086,Synthetic HDFC Bank - Secunderabad Railway Stn #86,ATM Kiosk,17.43576,78.50111,0.766,0.712,0.716,25,0.94
LOC_087,Synthetic ICICI Bank - Dilsukhnagar Cross Roads #87,ATM Kiosk,17.34386,78.50981,0.682,0.761,0.743,22,0.788
LOC_088,Synthetic Axis Bank - Charminar Old City Center #88,ATM Kiosk,17.36793,78.46137,0.95,0.969,0.891,36,0.69
LOC_089,Synthetic Kotak Mahindra Bank - Kukatpally KPHB Colony #89,ATM Kiosk,17.49498,78.39794,0.75,0.67,0.647,25,0.765
LOC_090,Synthetic Punjab National Bank - Madhapur 100ft Road #90,Customer Service Point (CSP),17.43702,78.38717,0.796,0.69,0.432,30,0.655
LOC_091,Synthetic Bank of Baroda - Mehdipatnam Rythu Bazar #91,ATM Kiosk,17.37166,78.46218,0.636,0.636,0.897,15,0.821
LOC_092,Synthetic Union Bank of India - Jubilee Hills Checkpost #92,ATM Kiosk,17.41244,78.38452,0.72,0.781,0.685,23,0.582
LOC_093,Synthetic Canara Bank - Tolichowki X Roads #93,Customer Service Point (CSP),17.41276,78.41203,0.706,0.888,0.663,27,0.69
LOC_094,Synthetic IndusInd Bank - Uppal Ring Road #94,Bank Branch Counter,17.39678,78.56042,0.655,0.674,0.223,23,0.542
LOC_095,Synthetic Tata Indicash - Kondapur Botanical Garden #95,ATM Kiosk,17.48507,78.37561,0.533,0.719,0.943,24,0.5
LOC_096,Synthetic Hitachi Money Spot - Abids Commercial Center #96,Customer Service Point (CSP),17.39492,78.45141,0.602,0.639,0.344,23,0.672
LOC_097,Synthetic State Bank of India - Miyapur Metro Terminal #97,ATM Kiosk,17.47959,78.36207,0.488,0.564,0.901,13,0.686
LOC_098,Synthetic HDFC Bank - Somajiguda Circle #98,ATM Kiosk,17.40326,78.46372,0.608,0.618,0.805,18,0.6
LOC_099,Synthetic ICICI Bank - Malakpet Super Bazar #99,ATM Kiosk,17.35493,78.51385,0.675,0.762,0.727,22,0.868
LOC_100,Synthetic Axis Bank - Sanath Nagar Industrial #100,ATM Kiosk,17.45743,78.44959,0.604,0.765,0.846,23,0.534
